,Loss Discriminator,Loss Generator,Accuracy Whitebox
0,0.09966862325623865,8.205709997650303,0.83358
1,0.2674622846595512,7.195369692333519,0.83286
2,0.33833758401043734,5.05350422379001,0.83306
3,0.4544488585475461,4.165865085980929,0.83256
4,0.38132634765618595,4.068534959526851,0.83486
5,0.4410249004164315,3.785353040551324,0.8357
6,0.3916619929158703,4.083103015132801,0.83608
7,0.4087748959913011,3.829702896129205,0.83662
8,0.37785184398398297,4.097963068834352,0.83748
9,0.4263426304373252,4.046703010523964,0.83678
10,0.4290463683198985,3.9465734333394358,0.83556
11,0.28569011793822013,4.2587624825235375,0.83444
12,0.4415389973386798,3.79381520949036,0.83714
13,0.2709075369445793,4.678044239540235,0.8371
14,0.2113347720620377,4.6652668302990685,0.8359
15,0.40465478059690435,4.020644608226455,0.83704
16,0.24503017615412584,4.518410982068768,0.83874
17,0.22660641570288517,5.0372953639935005,0.83712
18,0.3944285014201232,4.259249970986217,0.8369
19,0.3728949693513944,4.322151513318444,0.83656
20,0.13156486752629398,5.647727999842459,0.83448
21,0.1323382500512044,7.4229526824496865,0.83474
22,0.07087137834410139,7.067790474047136,0.8351
23,0.27071897886351676,5.474064524945605,0.8345
24,0.21824187958074728,4.988534822850894,0.83684
25,0.3746676767814209,4.1155517302031885,0.83678
26,0.2347757223675854,5.00962845489177,0.83642
27,0.24833059659176518,4.950439178513463,0.83738
28,0.42350181025783995,4.126286899335111,0.83834
29,0.19348536867647173,5.016500124026595,0.83646
30,0.23319247621096684,4.977312481374411,0.83892
31,0.4379040522028512,3.9586660056379435,0.83796
32,0.24561099761107322,4.779749072032987,0.83834
33,0.32511042031790593,4.45873148453778,0.83658
34,0.2089625990168308,5.244268280394432,0.83998
35,0.280046768984019,4.8974656668856245,0.83978
36,0.42907527781872,4.18703136135481,0.83798
37,0.19095280395915715,5.2810555502395395,0.8397
38,0.19853762766305247,5.152167367491671,0.8399
39,0.3133974058855482,4.774850409791481,0.83908
40,0.22256059658005323,5.14949358071838,0.837
41,0.33998335438215976,4.367150537124502,0.84152
42,0.18400610736726075,5.1309588497404555,0.8402
43,0.2520992360445876,5.3150352161484635,0.8374
44,0.21998788324146606,5.022874435818251,0.84054
45,0.0059919871589052195,6.8187027672672516,0.83476
46,0.0019823208888835706,9.398535094297756,0.83596
47,0.019525189997393343,26.648115440402798,0.83444
48,7.278006904695647e-06,42.71357515827774,0.8346
49,0.15251662296259388,20.02513199377462,0.83498
