,Losses Discriminator,Losses Generator,Accurracy
0,1.992938756942749,7.0169572830200195,0.1705
1,0.4492420554161072,5.122844696044922,0.1721
2,0.5518674254417419,3.5525965690612793,0.1705
3,1.7031481266021729,7.435401916503906,0.1633
4,1.052807331085205,1.7600080966949463,0.1841
5,1.334965705871582,5.178542137145996,0.1873
6,0.34057992696762085,2.9563326835632324,0.1946
7,0.2578571140766144,3.758437156677246,0.2086
8,0.4629462957382202,5.965407371520996,0.211
9,0.9163285493850708,2.2930545806884766,0.1938
10,1.2862825393676758,0.7726476192474365,0.2149
11,0.128511443734169,3.809455394744873,0.2174
12,1.6950417757034302,3.547506332397461,0.2224
13,0.601240336894989,3.4734272956848145,0.2266
14,0.4954527020454407,6.213393211364746,0.2494
15,0.517822265625,4.323209762573242,0.2189
16,0.07447502017021179,4.116995811462402,0.2392
17,0.20774227380752563,3.8251090049743652,0.2439
18,0.42268210649490356,3.1501035690307617,0.2593
19,0.9510816931724548,4.906532287597656,0.227
20,1.1598550081253052,0.9025388360023499,0.2161
21,0.500491201877594,3.2620396614074707,0.2431
22,0.5262322425842285,3.933683395385742,0.2374
23,0.46749550104141235,6.056694507598877,0.246
24,0.5950726270675659,2.1995186805725098,0.244
25,0.1227472573518753,3.359078884124756,0.2474
26,0.3999214172363281,5.222375869750977,0.2555
27,0.46311837434768677,4.342374801635742,0.2668
28,0.34803786873817444,3.9657070636749268,0.2703
29,0.29562199115753174,3.6930313110351562,0.2681
30,0.6131134033203125,3.6252691745758057,0.2607
31,0.6750984787940979,3.439177989959717,0.2675
32,0.528717577457428,3.023712635040283,0.2677
33,1.7804317474365234,0.7933566570281982,0.2362
34,0.33009999990463257,3.78914213180542,0.2766
35,0.30989181995391846,4.242642879486084,0.2748
36,0.40004751086235046,2.3739280700683594,0.2748
37,0.5630107522010803,4.702033042907715,0.2753
38,0.34046950936317444,4.714630126953125,0.2937
39,0.7485817670822144,6.399856090545654,0.2931
40,0.21130652725696564,3.5827383995056152,0.3041
41,0.8195799589157104,6.152796745300293,0.2914
42,0.6359235048294067,5.6201581954956055,0.2962
43,0.5524579882621765,4.065577507019043,0.3007
44,0.29849016666412354,3.689535140991211,0.3001
45,0.757962167263031,6.133322715759277,0.2947
46,0.6154586672782898,5.280336380004883,0.2912
47,0.767540454864502,2.1515467166900635,0.2875
48,0.7758006453514099,1.389553427696228,0.2927
49,1.0073909759521484,1.7331699132919312,0.2771
50,0.322922021150589,3.2286341190338135,0.2955
51,0.5396740436553955,3.7350950241088867,0.3028
52,1.234151840209961,5.479215621948242,0.3073
53,0.20641875267028809,3.1622612476348877,0.312
54,0.48695632815361023,2.631157398223877,0.3257
55,0.29344847798347473,3.6394543647766113,0.301
56,0.7924549579620361,6.205451488494873,0.3111
57,0.9175333380699158,2.2049760818481445,0.3048
58,0.5309762954711914,5.096168041229248,0.3122
59,0.3978123068809509,2.838737726211548,0.3113
60,0.47908681631088257,3.600191116333008,0.3017
61,0.531409740447998,2.707242012023926,0.2975
62,0.26208531856536865,3.704167366027832,0.3045
63,0.5364506244659424,2.7509443759918213,0.3066
64,0.6023076772689819,4.378768444061279,0.3077
65,1.0992980003356934,1.2672185897827148,0.2994
66,0.3397839665412903,2.6823952198028564,0.2983
67,0.5983808040618896,2.8960275650024414,0.3106
68,0.17207549512386322,3.745657444000244,0.3044
69,0.7158755660057068,6.130142688751221,0.2965
70,0.49464842677116394,2.6635050773620605,0.297
71,0.5601174831390381,3.4436869621276855,0.3083
72,1.8206369876861572,1.9832170009613037,0.2663
73,0.9827080965042114,1.436206340789795,0.2981
74,0.6876309514045715,5.721121788024902,0.3114
75,0.31761056184768677,2.6164426803588867,0.2896
76,0.2742946743965149,2.8154184818267822,0.2977
77,0.6959363222122192,3.9577221870422363,0.2965
78,0.7408519983291626,4.275844097137451,0.3084
79,1.1022120714187622,2.2314512729644775,0.2966
80,0.424875944852829,3.6286373138427734,0.3155
81,0.5648017525672913,4.500385284423828,0.2966
82,0.37800508737564087,3.6511125564575195,0.2987
83,0.4480054974555969,3.0517430305480957,0.2928
84,0.40232306718826294,3.76841139793396,0.3
85,0.470316082239151,2.8475537300109863,0.2933
86,0.4161262512207031,2.902057409286499,0.2978
87,0.5654473900794983,4.532505989074707,0.2859
88,0.43646109104156494,3.478039264678955,0.3022
89,0.5056726336479187,4.125626564025879,0.2886
90,0.3468987047672272,3.18790340423584,0.2977
91,0.7430834174156189,1.5722236633300781,0.2853
92,0.24376311898231506,4.5059709548950195,0.286
93,0.27065908908843994,3.7630770206451416,0.2923
94,0.655578076839447,4.650573253631592,0.2991
95,0.2533389925956726,2.765744209289551,0.29
96,0.9568685293197632,5.725464820861816,0.2757
97,1.3678085803985596,1.3387317657470703,0.2703
98,0.40002381801605225,3.536895751953125,0.2894
99,0.43068253993988037,4.745992660522461,0.2916
