,Model,Scaler,Depth,Accuracy,Accuracy Variance,Precision,Precision Variance,Recall,Recall Variance,F1,F1 Variance
0,LogisticRegression,MinMax,-,0.8734793187347931,6.237849075625302e-05,0.7727641088490377,0.0009906780847723801,0.27205322096651474,0.000634830949925416,0.4019650433271298,0.0008849794315455937
1,LogisticRegression,StandardMinMax,-,0.8765206812652068,2.0619252143652993e-05,0.769559181461504,0.0009915484077388246,0.2748046527816021,0.0004946340688612385,0.4046488895455963,0.000706808472693341
2,LogisticRegression,StandardRobustMinMax,-,0.8746958637469586,2.3021938591938863e-05,0.7679260775142935,0.001643128667448589,0.270349020658272,0.00027314622069049896,0.3995076769081314,0.0003764310807448868
3,LogisticRegression,RobustMinMax,-,0.874249797242498,1.3500722559986942e-05,0.757807637094258,0.0003049994087448825,0.27010974374016794,0.0002662821236784602,0.397926233964448,0.0003106900485518888
4,LogisticRegression,RobustStandardMinMax,-,0.8726682887266829,9.464574754463606e-06,0.7683661417697928,0.0004420152639317484,0.26165789129587047,0.0003784480481235322,0.3900587249168501,0.0005073662634402488
5,MyLogisticRegression,MinMax,-,0.8270478507704785,0.004041017128249228,0.744980,0.224244,0.09270361599429776,0.06485333278793262,0.06212801568292463,0.016727738624270197
6,MyLogisticRegression,StandardMinMax,-,0.7210056772100568,0.04159435768097017,0.786159,0.243027,0.3669659233403201,0.20142817729546283,0.1857743249124623,0.03716687714418046
7,MyLogisticRegression,StandardRobustMinMax,-,0.8081103000811031,0.006087102883435685,0.5841323478465847,0.05223229748328915,0.2740178483223609,0.10497540127083055,0.22334968026470284,0.040405761447758655
8,MyLogisticRegression,RobustMinMax,-,0.7655312246553122,0.030912243951277976,0.809614,0.261477,0.20356593646884522,0.16392574533577137,0.0865581508428421,0.019526744342741247
9,MyLogisticRegression,RobustStandardMinMax,-,0.7649635036496351,0.025294978637468126,0.818012,0.289870,0.3041062493368266,0.16490760045758057,0.17323806426840588,0.038579197648331294
